id_cliente,Nombre,Apellido,Direccion,Telefono,Tarjeta,Edad,Salario,Genero,id_pais
40,Dustin,Resendez,1525 Fraggle Drive,7725075074,7.57609E+15,46,80000,M,11
41,Richard,Bell,604 Happy Hollow Road,5021884093,6.02378E+15,69,40000,M,11
42,Janie,Hetzel,1228 Charles Street,7225708050,5.74144E+15,56,60000,F,11
43,Joyce,Escobar,2240 Grasselli Street,4599311991,7.36296E+15,49,60000,F,11
44,Edmond,Thomas,1207 Center Street,6118785825,5.78996E+15,20,60000,M,11
45,Kimberly,Harris,7 Deans Lane,3934871591,8.39658E+15,28,40000,F,11
46,Bethany,Payton,396 Summit Street,5928516639,8.14378E+15,75,60000,F,11
47,Warren,Gwin,4200 Fittro Street,1468092885,1.43943E+15,45,80000,M,11
48,James,Howard,866 Stout Street,5164479008,5.14582E+15,73,20000,M,11
49,Genoveva,Rhoades,3450 Marion Street,4483097562,2.76785E+15,67,40000,F,11
50,Jeffrey,Pattison,3587 Commerce Boulevard,3309250755,7.01622E+15,53,100000,M,11
51,Donnell,Marler,2620 Valley Street,8443500542,3.86372E+15,35,100000,M,11
52,Elliott,Ramos,1233 Broadcast Drive,3004564116,5.14691E+15,49,80000,M,11
53,Joseph,Smothers,1295 Hanifan Lane,7102610410,7.40291E+15,58,80000,M,11
54,Roger,Guzman,2205 Rainbow Road,1023603196,2.66828E+15,26,60000,M,11
55,Chris,Nestor,824 Flinderation Road,3574669247,8.77465E+15,61,60000,F,11
56,Jessica,Brantley,2813 Woodland Avenue,4761523925,1.167E+15,79,20000,F,11
57,Willie,Morgenstern,4480 Kemper Lane,6110351941,3.40821E+15,26,20000,M,11
58,Jerry,Moyer,1304 Scenicview Drive,4833048217,3.22917E+15,19,20000,M,11
59,Gail,Montgomery,1420 Locust Court,4842132323,1.60926E+15,82,80000,F,11
60,Megan,Newman,4038 Mulberry Street,9649127091,4.61154E+15,34,100000,F,11
61,Charles,Kleinschmidt,43 Jenna Lane,8449346521,1.47679E+15,60,80000,M,11
62,Helen,Cooper,3748 Devils Hill Road,2219900888,5.04876E+15,55,60000,F,11
63,Leroy,Sanchez,2500 Sand Fork Road,1055097560,4.8104E+15,90,40000,M,11
64,Rodger,Walker,3503 Brannon Avenue,5734550591,9.14587E+15,32,80000,M,11
65,Walter,White,3655 Terra Cotta Street,4563891355,1.29833E+15,57,80000,M,11
66,Thomas,Mullins,1431 Cedarstone Drive,2559052903,2.4502E+15,39,40000,M,11
67,Jerry,Engelmann,4163 Willison Street,4337782111,7.69951E+15,29,40000,M,11
68,Laurie,Dick,3651 Woodbridge Lane,2521982461,9.54618E+15,69,100000,F,11
69,Thomas,Knight,2005 Melody Lane,5621417868,5.9082E+15,20,60000,M,11
70,Eva,Nesler,1120 Park Avenue,4579724741,2.27086E+15,69,60000,F,11
71,Hazel,Macias,4723 Nixon Avenue,7151078438,1.90948E+15,66,100000,F,11
72,Rosemary,Loftis,3226 Byrd Lane,5076143849,1.29462E+15,27,60000,F,11
73,Thomas,White,2150 Biddie Lane,5940442139,3.68064E+15,52,100000,M,11
74,Diane,Benitez,3974 Duncan Avenue,9144738893,8.46601E+15,45,60000,F,11
75,Barbara,Hardy,635 Hinkle Lake Road,3559184079,6.2607E+15,58,80000,F,11
76,Betsy,Brown,4516 Charter Street,5843842130,6.73105E+15,53,60000,F,11
77,Alexander,Antoine,2348 Woodrow Way,8203956428,4.09147E+15,67,60000,M,11
78,Kenneth,Black,2919 Trouser Leg Road,5901074984,9.04958E+15,38,80000,M,11
79,Charles,Riggle,3745 Upton Avenue,8947035148,5.01984E+15,27,100000,M,11
80,Michael,Wright,2253 Rose Street,7038885902,9.08624E+15,59,60000,M,11
81,Margarita,Frazier,1191 Friendship Lane,5684336516,3.07125E+15,47,20000,F,11
82,John,Hall,4267 Kimberly Way,4250067926,4.28225E+15,26,40000,M,11
83,Rochelle,White,1940 Irving Road,7328085613,4.18798E+15,29,20000,F,11
84,David,Gasaway,628 Freed Drive,8804140647,7.08093E+15,90,60000,M,11
85,Joseph,Watkins,4655 Cambridge Drive,9566648908,2.99428E+15,39,80000,M,11
86,Richard,Lawrence,1406 Ashmor Drive,8481905861,5.73805E+15,50,60000,M,11
87,Jeanie,Johnson,142 Biddie Lane,1912388650,1.13546E+15,49,40000,F,11
88,Kimberly,Becker,1000 Deer Haven Drive,7842002899,3.34992E+15,20,60000,F,11
89,Edward,Lott,4848 Diamond Street,3881306276,6.91156E+15,34,40000,M,11
90,John,Garza,3405 Cook Hill Road,6012148553,1.80765E+15,71,20000,M,11
91,Marilyn,Croy,3195 Ferry Street,8338619980,6.0873E+15,22,20000,F,11
92,Mitchell,Smith,2416 Point Street,5313838823,6.74037E+15,36,60000,M,11
93,Rolando,Wheeler,3753 Brannon Avenue,7656402342,4.692E+15,21,80000,M,11
94,James,Nelson,3222 Mulberry Street,1007417866,7.34813E+15,35,20000,M,11
95,Carol,Hobson,123 West Street,9091236773,3.15378E+15,78,100000,F,11
96,Jean,Whittaker,2019 Carolina Avenue,9652656132,9.81699E+15,83,100000,M,11
97,Mickey,Fraser,57 Franklin Street,7278548154,2.5578E+15,70,20000,M,11
98,Thomas,Womack,562 My Drive,1547526094,9.01117E+15,57,60000,M,11
99,Edward,Eaglin,3453 Confederate Drive,9885368844,6.01551E+15,59,60000,M,11
100,Guadalupe,Wilson,1783 Smithfield Avenue,9250484007,8.6599E+15,44,80000,F,11
101,Jeffrey,Jacobson,1612 Rinehart Road,4081060163,7.21086E+15,45,20000,F,11
102,Alberto,McCarley,641 Crestview Manor,7874303452,6.54258E+15,73,80000,M,11
103,Terri,Borden,2082 Keyser Ridge Road,4941352913,7.84123E+15,86,80000,F,11
104,Tamara,Roller,2941 Harley Brook Lane,5599346700,1.62202E+15,22,80000,F,11
105,George,Butler,2023 Raccoon Run,7270570272,4.69586E+15,40,60000,M,11
106,Grace,Dill,4100 Kildeer Drive,5127891259,8.24603E+15,67,100000,F,11
107,Christopher,Mitchell,346 South Street,2817086674,8.5639E+15,90,100000,M,11
108,John,Bogert,1721 Cardinal Lane,1721490290,4.52265E+15,58,20000,M,11
109,Nancy,Roy,397 Layman Court,6452446201,7.89335E+15,51,80000,F,11
110,Daniel,Sturgeon,3133 Raver Croft Drive,4109508464,5.64252E+15,90,60000,M,11
111,Stephen,Turpin,2058 Holt Street,4645878337,7.07428E+15,75,80000,M,11
112,Glenn,Vicente,3305 Birch Street,1754146260,4.79252E+15,37,40000,M,11
113,Etta,Williams,3700 Chardonnay Drive,2079674498,3.53482E+15,67,100000,F,11
114,Anthony,Chapa,1002 Arbor Court,3189182691,8.33401E+15,81,100000,M,11
115,Debra,Reis,1824 Stone Lane,9050788475,1.23568E+15,38,60000,F,11
116,Patrick,Davenport,2032 McKinley Avenue,8858951903,4.55977E+15,53,60000,M,11
117,Tawny,Landry,4305 Elk City Road,3862314451,4.62871E+15,89,60000,F,11
118,Howard,Parrish,2788 White River Way,8102950769,2.40873E+15,53,80000,M,11
119,Brenda,Robertson,4270 Post Farm Road,7448935926,2.48288E+15,27,60000,F,11
120,Sharonda,Maldonado,264 Saint James Drive,6595474595,1.47634E+15,39,40000,F,11
121,Tonya,Flores,4374 Clousson Road,6798147794,6.87958E+15,65,40000,F,11
122,Dawn,Robert,223 Highland View Drive,4065978990,2.96072E+15,83,60000,F,11
123,Ruth,Abadie,2273 Trainer Avenue,7123033009,4.88726E+15,19,60000,F,11
124,Sheila,Smeltzer,1430 Nash Street,2220276636,1.51195E+15,79,60000,F,11
125,Randy,McLeod,2427 Morningview Lane,3776657381,4.19044E+15,44,60000,M,11
126,Agnes,Rudd,1019 Howard Street,1160092385,8.19472E+15,60,100000,F,11
127,David,Honaker,4037 August Lane,8003738523,8.10493E+15,27,40000,M,11
128,William,Fick,3190 Poplar Street,7115704372,3.56692E+15,69,60000,M,11
129,Daniel,Clark,3198 West Fork Street,6569254887,7.20791E+15,42,20000,M,11
130,John,Rowe,3038 Lauren Drive,7879493371,1.02045E+15,45,20000,M,11
131,Danielle,Reilly,4652 Adamsville Road,9370650948,8.4171E+15,48,60000,F,11
132,Darlene,Ponder,3876 Steve Hunt Road,2364824409,3.89602E+15,90,60000,F,11
133,Harold,Mayes,4281 Still Street,4938118819,6.80485E+15,65,40000,M,11
134,Kari,Boatright,3369 My Drive,4649670859,9.83434E+15,38,100000,F,11
135,Michael,Fleming,2161 Quarry Drive,9021567530,4.04247E+15,87,20000,M,11
136,Clarence,Morgan,3373 Carolina Avenue,9031787945,3.84177E+15,48,20000,M,11
137,Allison,Moore,976 Heritage Road,7600041415,7.24215E+15,50,20000,F,11
138,Darlene,Davis,258 Mulberry Lane,7706483551,3.90771E+15,43,20000,F,11
139,Vanessa,Shoemaker,18 Plainfield Avenue,8008482630,7.34655E+15,79,20000,F,11
140,Grover,James,2201 Loving Acres Road,4891437624,6.53303E+15,46,80000,M,11
141,Debra,Luna,1790 Corpening Drive,4451610678,7.43941E+15,66,100000,F,11
142,Don,Stevens,3931 Simpson Avenue,3047343803,1.31548E+15,73,40000,M,11
143,Albert,Granda,1107 Poplar Street,1903096573,3.50601E+15,70,100000,M,11
144,Gregory,Key,4630 Boggess Street,5440590231,2.10767E+15,21,40000,M,11
145,Jennifer,Malone,4201 Washburn Street,3522341788,8.59022E+15,34,20000,F,11
146,Gustavo,Chai,1674 Walt Nuzum Farm Road,1861340140,1.31974E+15,19,60000,M,11
147,Thomas,Pitts,2758 Gordon Street,9813855180,2.57378E+15,62,100000,M,11
148,Shawn,Nichols,346 Jewell Road,5060410082,3.79831E+15,63,60000,F,11
149,Donald,Edwards,2264 Nutters Barn Lane,9064342289,1.06087E+15,32,20000,M,11
150,Sharon,Ladner,4481 Trouser Leg Road,6713663457,7.67824E+15,64,60000,F,11
151,Larry,Burke,3627 North Street,7969281022,6.6143E+15,74,80000,M,11
152,Javier,Blackwell,4241 Earnhardt Drive,6712504583,9.11528E+15,22,80000,M,11
153,Edward,Swett,425 Jehovah Drive,1207147861,8.56874E+15,29,40000,M,11
154,Theron,Royster,233 Twin House Lane,5570075807,2.96551E+15,65,60000,M,11
155,Victor,Brown,1805 Crestview Manor,2624904403,6.12123E+15,74,60000,M,11
156,Wayne,Higa,1663 Lodgeville Road,1288064537,9.55336E+15,40,60000,M,11
157,Paula,Bagwell,2503 Woodhill Avenue,2061304593,4.97323E+15,86,20000,F,11
158,Karen,Nobles,1865 Yorkshire Circle,5235986700,1.70939E+15,75,60000,F,11
159,Tara,Oakley,2983 Forest Drive,8270375752,4.54549E+15,35,40000,F,11
160,Thomas,Converse,792 Goosetown Drive,4736229063,7.07117E+15,81,60000,M,11
161,Jennifer,Frazier,1348 Brown Street,9937922485,3.75459E+15,21,60000,F,11
162,Kevin,Ross,4088 Westwood Avenue,8539709012,1.06312E+15,72,100000,M,11
163,Rita,Garrett,4478 Burke Street,7051157108,1.01131E+15,59,20000,F,11
164,Benjamin,Savage,647 Allison Avenue,4485849114,2.57702E+15,28,60000,M,11
165,Cassandra,Rodriguez,2473 Wayside Lane,1355972789,6.84918E+15,82,100000,F,11
166,Barbara,Cummings,2128 Karen Lane,1234921125,2.73896E+15,40,20000,F,11
167,Linda,Clark,3458 Jarvisville Road,2577301920,7.95493E+15,81,100000,F,11
168,Robin,Garcia,2396 Cooks Mine Road,9521375513,9.4291E+15,89,60000,F,11
169,Sean,Brooks,4034 Spadafore Drive,8166259560,4.22904E+15,39,60000,M,11
170,Richard,Hindman,3696 Linda Street,9938818816,1.69899E+15,64,100000,M,11
171,Nancy,McReynolds,4240 Chestnut Street,6383758055,9.21161E+15,68,20000,F,11
172,Lolita,Reese,4454 Pin Oak Drive,9827637124,5.09084E+15,61,100000,F,11
173,Mark,Corley,1462 Emily Drive,4240752714,9.31678E+15,90,80000,M,11
174,Thomas,Gram,4531 Sycamore Street,6616090950,9.42209E+15,82,100000,M,11
175,Peter,Smith,4079 Blair Court,2453803311,3.53728E+15,70,20000,M,11
176,Sandy,Trumbull,3276 University Drive,1612266074,2.12453E+15,18,60000,F,11
177,Nicholas,Sprague,266 Brown Street,3690125030,8.34409E+15,77,20000,M,11
178,Craig,Rucker,305 Prospect Valley Road,7778050487,7.46736E+15,33,100000,M,11
179,Wendell,Rodriguez,1577 Edsel Road,4419226889,6.73606E+15,26,20000,M,11
180,Amanda,Abrams,3844 Pinewood Drive,2864315572,3.22976E+15,34,20000,F,11
181,Michael,Kelly,1148 Winifred Way,9615864405,4.31512E+15,52,40000,M,11
182,Juana,Gray,418 Lyndon Street,9977305070,6.03394E+15,86,100000,F,11
183,Shelia,Evins,1850 Saint Francis Way,5815056834,8.54332E+15,20,60000,F,11
184,Greg,Sullivan,4451 Myra Street,4027881849,3.43514E+15,77,80000,M,11
185,Tina,Lowe,223 Steve Hunt Road,6721374519,8.79994E+15,88,100000,F,11
186,Elizabeth,Poe,4008 Riverwood Drive,2990152133,9.77846E+15,48,60000,F,11
187,Peggy,Smith,2005 Eagle Lane,5063134523,4.95046E+15,80,20000,F,11
188,Lorna,Pawlowski,3756 Adams Avenue,7440923984,4.1781E+15,51,100000,F,11
189,Jane,Hodges,1394 Rhode Island Avenue,3449626268,2.68283E+15,32,80000,F,11
190,Gary,Collins,2679 Washington Avenue,4651647065,3.58218E+15,32,40000,M,11
191,Tiffany,Lewis,723 Jim Rosa Lane,9312927970,9.96857E+15,72,100000,F,11
192,William,McGee,3433 Water Street,9945151528,3.65706E+15,25,20000,M,11
193,Wesley,Calderon,1380 Yorkshire Circle,9899340102,9.47621E+15,86,40000,M,11
194,Gavin,Grant,1828 White Pine Lane,4313723413,5.75036E+15,72,80000,M,11
195,Dorothy,Owens,2906 Carolyns Circle,4104551268,5.83942E+15,67,40000,F,11
196,Howard,Elledge,4914 Parkway Street,6541135995,3.27058E+15,37,100000,M,11
197,Christopher,Smith,11 Jehovah Drive,2696203470,5.08126E+15,79,80000,M,11
198,Harry,Christian,1823 Sunny Day Drive,8223866562,6.96299E+15,53,80000,M,11
199,Irving,Johnstone,1466 Colony Street,6475307981,3.91613E+15,35,60000,M,11
200,Natasha,Labbe,4098 Tree Frog Lane,2739437763,6.21704E+15,48,80000,F,11
201,Nancy,Joyce,800 Wilson Street,9292288565,4.00982E+15,86,20000,F,11
202,Lorie,Mora,1957 Cessna Drive,9389964211,5.77456E+15,75,20000,F,11
203,Jamila,Richard,486 Locust View Drive,8229181451,6.14154E+15,86,20000,F,11
204,Maritza,Bishop,3763 Snowbird Lane,3734459121,1.78875E+15,59,60000,F,11
205,Etta,Allen,3103 Joy Lane,9479539791,7.61327E+15,79,40000,F,11
206,James,Trahan,2643 Camel Back Road,8896107254,4.46315E+15,50,60000,M,11
207,Kendrick,Mund,1544 Despard Street,6620438987,5.91541E+15,32,60000,M,11
208,Scott,Singleton,3402 Brooklyn Street,1608915044,3.16099E+15,80,100000,M,11
209,Jack,Cromer,3853 Coulter Lane,3792013392,8.61761E+15,67,60000,M,11
210,George,Wimberly,4653 Junior Avenue,9294354440,8.86244E+15,88,40000,M,11
211,Elizabeth,Reed,1822 Victoria Court,2891817942,8.43487E+15,62,80000,F,11
212,Edith,Errico,4056 Hanover Street,6715788093,5.721E+15,64,20000,F,11
213,Karen,Moser,4550 Essex Court,2254211018,9.80659E+15,36,40000,F,11
214,Margaret,Cruse,4157 Happy Hollow Road,5600068507,3.75958E+15,39,60000,F,11
215,Keith,Bozarth,4560 Turkey Pen Lane,8129480423,7.87039E+15,26,60000,M,11
216,George,Falk,1764 Brannon Street,8348967875,6.71449E+15,28,100000,M,11
217,Charles,Schindler,3294 Bloomfield Way,6630870131,2.41188E+15,35,20000,M,11
218,Blanche,Maynard,1851 Joyce Street,8816522961,2.88603E+15,76,80000,F,11
219,Leon,Sevilla,1000 Hoffman Avenue,7071810956,1.13698E+15,54,60000,M,11
220,Norma,Rossman,524 Deer Ridge Drive,4715606254,1.53579E+15,86,40000,F,11
221,Jonathan,Suarez,232 Norma Avenue,8024583176,6.79942E+15,56,40000,M,11
222,Anthony,Hooker,1801 Hemlock Lane,7707627258,6.31746E+15,38,80000,M,11
223,Phillip,Harvard,189 Riverside Drive,6681761544,2.82015E+15,55,80000,M,11
224,Melissa,Lesure,2342 Hide A Way Road,5551250048,4.24974E+15,90,20000,F,11
225,Kevin,Gaddis,907 Musgrave Street,1099968377,2.74665E+15,83,80000,M,11
226,Jesus,Hilburn,2329 Elm Drive,5399641553,9.52278E+15,37,40000,M,11
227,Maryann,Melara,4432 Bruce Street,7172292935,5.70122E+15,21,20000,F,11
228,Mary,Solley,4718 Aviation Way,3775013622,4.47512E+15,27,80000,F,11
229,Theresa,Tierney,4411 Stark Hollow Road,4128732778,2.19788E+15,67,60000,F,11
230,John,Smith,1759 Elliot Avenue,3326815737,5.71594E+15,67,20000,M,11
231,Johnny,Eckert,2383 Fowler Avenue,2425690554,1.50883E+15,35,60000,F,11
232,Katie,Clifford,2442 Elk Rd Little,5860990967,2.72274E+15,33,80000,F,11
233,Mildred,Hamilton,1244 Luke Lane,4646948505,6.23274E+15,90,20000,F,11
234,William,Theriault,80 Alexander Avenue,5718193571,8.90193E+15,68,20000,M,11
235,Thomas,Lambert,3930 Driftwood Road,9853886479,6.7809E+15,36,80000,M,11
236,Concepcion,McNair,3628 Sunrise Road,1565292418,3.43618E+15,79,80000,F,11
237,Charmaine,Fields,4134 Friendship Lane,1059322345,3.70716E+15,76,60000,F,11
238,Elizabeth,Sims,2942 Queens Lane,1863348993,1.59776E+15,78,100000,F,11
239,Betty,Lane,367 Denver Avenue,1035903769,4.28121E+15,71,40000,F,11
240,Truman,Freeman,3023 Ridenour Street,8532190868,9.07142E+15,18,40000,M,11
241,Lowell,Harvey,3154 Bridge Avenue,2585578940,3.26649E+15,58,20000,M,11
242,Brian,Foster,2625 Charack Road,4533164555,5.83991E+15,75,40000,M,11
243,Maureen,Burkett,3785 Chardonnay Drive,9216089902,7.84032E+15,53,60000,F,11
244,Irene,Chapman,1337 Hornor Avenue,4593760254,9.78281E+15,29,60000,F,11
245,John,Young,825 Boring Lane,5091884392,4.46117E+15,43,40000,M,11
246,Rosemary,Horne,4477 Kyle Street,1953241795,9.4234E+15,54,100000,F,11
247,Doris,Wright,4581 Rhapsody Street,9178639777,2.03307E+15,36,60000,F,11
248,Amber,Jimenes,2202 Briarwood Road,9242159193,4.46441E+15,82,100000,F,11
249,Kim,Larsen,1971 Woodrow Way,5333657757,5.08583E+15,54,40000,M,11
250,Stanley,Petersen,2944 Pooh Bear Lane,2265148245,2.13106E+15,90,20000,M,11
251,Debbie,Marconi,2435 Melm Street,5319693184,6.1458E+15,62,100000,F,11
252,Eliza,Laine,3788 Meadow View Drive,3726352094,1.99002E+15,41,100000,F,11
253,Malissa,Lenihan,112 Public Works Drive,4994618101,5.73026E+15,43,40000,F,11
254,John,Taylor,248 Cimmaron Road,8840514968,4.97607E+15,48,20000,M,11
255,Oleta,Tillman,3457 Granville Lane,3996292216,6.75204E+15,58,80000,F,11
256,Robert,Tomas,1904 Alpha Avenue,8146984087,5.12888E+15,48,80000,M,11
257,Frank,Babb,4130 Kuhl Avenue,7152320561,3.55233E+15,53,20000,M,11
258,James,Ebner,949 Worthington Drive,8619782804,5.87714E+15,83,20000,M,11
259,Timothy,Greer,2787 Carolyns Circle,3671714553,3.2915E+15,61,20000,M,11
260,Jason,Ashe,1293 Nixon Avenue,6159762535,6.97404E+15,62,40000,M,11
261,Carly,Young,4082 Godfrey Street,7365676672,7.11255E+15,43,40000,F,11
262,Clara,Switzer,1244 Dane Street,9540433463,3.8902E+15,48,80000,F,11
263,Barbara,Bergmann,2308 Poco Mas Drive,6566542046,7.87333E+15,45,40000,F,11
264,James,Green,2367 Cooks Mine Road,6326537996,5.18983E+15,42,20000,M,11
265,Claudia,Upchurch,1105 Tenmile Road,9446080135,5.92517E+15,31,60000,F,11
266,Nancy,Gallagher,2962 Bassell Avenue,3319631964,6.19092E+15,72,100000,F,11
267,Anderson,Lott,3181 Gregory Lane,6351986862,5.3258E+15,62,80000,M,11
268,Clementine,Oliver,2463 Bird Spring Lane,3979425513,9.46267E+15,54,60000,F,11
269,Antwan,Harrel,997 Harley Brook Lane,9490352484,5.41935E+15,90,100000,M,11
270,Sean,Hall,4723 Junkins Avenue,9235048020,1.68843E+15,32,40000,M,11
271,Marjorie,Kohler,1565 Lightning Point Drive,6672575523,4.42676E+15,75,40000,F,11
272,Dina,Craig,919 Gladwell Street,9556971297,1.61115E+15,66,100000,F,11
273,Patrick,Smith,463 American Drive,9460061874,3.94376E+15,84,40000,M,11
274,Jonathan,Arent,1196 Hilltop Haven Drive,7503574506,4.48553E+15,46,80000,M,11
275,Michael,Sturdevant,2264 Gateway Avenue,9755488057,2.08335E+15,47,20000,M,11
276,John,Simon,4998 Timbercrest Road,1906662633,7.21935E+15,61,100000,M,11
277,Enrique,Garcia,116 Coventry Court,1513486435,5.84022E+15,43,100000,M,11
278,Travis,Frost,281 Pin Oak Drive,8074536088,5.27138E+15,74,20000,M,11
279,Gilbert,Williams,4328 Shinn Avenue,5305716901,8.19047E+15,28,20000,M,11
280,Rita,Delacruz,3466 Poplar Avenue,1505129548,3.24649E+15,38,80000,F,11
281,Michelle,Surber,741 Worley Avenue,2223535093,9.0975E+15,22,100000,F,11
282,Ralph,Lippert,2497 Ingram Road,1924203953,5.87369E+15,90,80000,M,11
283,Myrtle,Lopez,4059 Oliverio Drive,8764344763,8.46744E+15,83,40000,F,11
284,Shawn,Johnson,2758 Elm Drive,2921405410,7.05816E+15,32,20000,M,11
285,Ada,Sandlin,4146 Tenmile Road,7536785773,8.23509E+15,59,20000,F,11
286,Luis,Rodriguez,4489 Broaddus Avenue,2193997890,6.72966E+15,27,40000,M,11
287,Karen,Ethier,4130 Duncan Avenue,9512775433,1.2679E+15,48,60000,F,11
288,Walter,Bardin,3522 Main Street,9218394410,4.49217E+15,50,100000,M,11
289,Robert,Lopez,3327 Flinderation Road,8941537579,1.61087E+15,75,60000,M,11
290,Robert,Williams,3588 Ingram Street,4139329435,4.13848E+15,85,40000,M,11
291,Vera,Tibbetts,3023 Andell Road,1933757302,6.63606E+15,32,40000,F,11
292,Janet,Chavez,4145 Hillview Drive,6812486108,3.44086E+15,59,20000,F,11
293,Daniel,Rogers,2479 Confederate Drive,4270815277,2.94491E+15,79,40000,M,11
294,Sarah,Dudley,1663 Glenview Drive,4386977421,8.00116E+15,21,80000,F,11
295,Chadwick,Ogburn,465 Tator Patch Road,1149060316,3.47624E+15,60,40000,M,11
296,Juan,Hassan,172 Bartlett Avenue,8891680955,4.62993E+15,45,40000,M,11
297,Edward,Murray,3088 Heavner Court,7717197769,1.2345E+15,58,60000,M,11
298,Elizabeth,Foster,3312 Raintree Boulevard,3569018616,3.51443E+15,28,80000,F,11
299,Danica,Johnson,3866 Cottonwood Lane,9254136228,2.83915E+15,39,80000,F,11
300,Scott,Murphy,3263 Khale Street,4098719533,8.166E+15,23,60000,M,11
301,Mark,Cowles,3029 Snider Street,4294433532,9.45007E+15,67,60000,M,11
302,Maurice,Hodge,706 Alpaca Way,4081031166,7.54927E+15,60,40000,M,11
303,Paul,Marin,980 Brownton Road,2243459966,4.55987E+15,78,40000,M,11
304,Harry,Haddad,743 Angus Road,5180039471,6.45809E+15,89,20000,M,11
305,Lan,Fleury,642 Arlington Avenue,5159175581,4.90192E+15,44,40000,F,11
306,Emanuel,Green,2423 Ferguson Street,1472697085,4.99025E+15,79,20000,M,11
307,Frances,Knott,2604 Carter Street,3766494931,3.61301E+15,89,60000,F,11
308,Sarah,Perkins,4316 Chandler Hollow Road,4932828367,4.21409E+15,89,60000,F,11
309,Debbie,Hambrick,413 Davis Street,3531801684,5.97023E+15,26,40000,F,11
310,Joseph,Thompson,105 Boone Crockett Lane,7757414799,8.08366E+15,35,80000,M,11
311,Jean,Sanders,916 Brooke Street,2058246426,9.33294E+15,29,60000,F,11
312,Mark,Levy,3011 Commerce Boulevard,1912545777,9.88461E+15,76,80000,M,11
313,Stephanie,Gaston,1561 Gore Street,5962735780,4.98292E+15,70,40000,F,11
314,Colleen,Galiano,4305 Cantebury Drive,3284500294,5.54311E+15,67,60000,F,11
